complaint_id,timestamp,lat,lon,complaint_type,intensity
C_00028,2026-02-19T05:48:24.188786,40.71597,-74.02393,bad_smell,2
C_00029,2026-02-15T12:48:24.188786,40.72892,-73.98788,bad_smell,1
C_00030,2026-02-15T17:48:24.188786,40.69001,-74.00285,water_color,4
C_00031,2026-02-18T17:48:24.188786,40.71437,-74.02601,water_color,3
C_00032,2026-02-16T15:48:24.188786,40.71878,-73.9878,bad_smell,3
C_00033,2026-02-01T04:48:24.188786,40.69768,-73.99048,noise,5
C_00034,2026-02-17T15:48:24.188786,40.69564,-73.98786,noise,1
C_00035,2026-02-17T19:48:24.188786,40.7173,-73.99956,dust,1
C_00036,2026-02-19T01:48:24.188786,40.72297,-73.99985,noise,2
C_00037,2026-02-15T23:48:24.188786,40.71969,-73.99249,noise,3
C_00038,2026-02-16T07:48:24.188786,40.72445,-73.99183,water_color,4
C_00039,2026-02-15T03:48:24.188786,40.71694,-74.00217,water_color,5
C_00040,2026-02-17T00:48:24.188786,40.72116,-74.0239,dust,5
C_00041,2026-02-06T20:48:24.188786,40.71328,-74.0294,bad_smell,4
C_00042,2026-02-19T06:48:24.188786,40.71549,-74.0306,water_color,1
C_00043,2026-02-17T05:48:24.188786,40.68823,-73.99559,noise,5
C_00044,2026-02-14T13:48:24.188786,40.68912,-73.98982,water_color,4
C_00045,2026-02-19T04:48:24.188786,40.69013,-74.00304,water_color,1
C_00046,2026-02-17T02:48:24.188786,40.69887,-73.99529,dust,4
C_00047,2026-02-13T20:48:24.188786,40.70905,-74.02487,bad_smell,4
C_00048,2026-02-13T00:48:24.188786,40.72347,-73.99676,water_color,5
C_00049,2026-02-17T15:48:24.188786,40.68745,-74.00045,bad_smell,4
C_00050,2026-02-16T08:48:24.188786,40.68362,-73.99346,noise,2
C_00051,2026-02-17T02:48:24.188786,40.70358,-74.00166,bad_smell,5
C_00052,2026-01-31T04:48:24.188786,40.71277,-74.02181,dust,5
C_00053,2026-02-08T20:48:24.188786,40.72088,-73.99368,noise,2
C_00054,2026-02-18T04:48:24.189786,40.72321,-73.99649,smoke,3
C_00055,2026-02-18T02:48:24.189786,40.72564,-73.993,dust,2
C_00056,2026-02-19T05:48:24.189786,40.71193,-74.02978,smoke,4
C_00057,2026-02-04T13:48:24.189786,40.68762,-73.98943,dust,4
C_00058,2026-02-18T13:48:24.189786,40.71823,-74.02363,dust,3
C_00059,2026-02-13T21:48:24.189786,40.72512,-74.0275,smoke,4
C_00060,2026-02-16T16:48:24.189786,40.72285,-74.00256,water_color,3
C_00061,2026-02-18T13:48:24.189786,40.69094,-74.00096,bad_smell,3
C_00062,2026-02-06T05:48:24.189786,40.71308,-74.02335,noise,4
C_00063,2026-02-17T06:48:24.189786,40.68379,-73.99923,bad_smell,3
C_00064,2026-02-15T05:48:24.189786,40.6881,-73.99672,bad_smell,5
C_00065,2026-02-14T15:48:24.189786,40.7155,-74.03241,water_color,4
C_00066,2026-02-18T14:48:24.189786,40.71173,-74.01855,bad_smell,4
C_00067,2026-02-18T11:48:24.189786,40.70998,-74.02805,smoke,3
C_00068,2026-02-14T16:48:24.189786,40.70973,-74.02751,dust,2
C_00069,2026-01-27T17:48:24.189786,40.72288,-73.99964,bad_smell,3
C_00070,2026-02-18T05:48:24.189786,40.71498,-74.02005,dust,2
C_00071,2026-02-17T00:48:24.189786,40.7253,-73.98456,water_color,4
C_00072,2026-02-17T15:48:24.189786,40.70597,-74.02712,dust,2
C_00073,2026-02-13T20:48:24.189786,40.69884,-73.99758,noise,4
C_00074,2026-02-18T21:48:24.189786,40.68992,-74.00896,dust,1
C_00075,2026-02-18T11:48:24.189786,40.71712,-74.02998,noise,1
C_00076,2026-02-19T04:48:24.189786,40.68541,-73.99508,dust,4
C_00077,2026-02-15T23:48:24.189786,40.68783,-73.99615,dust,2
C_00078,2026-02-19T05:48:24.189786,40.69878,-73.99679,dust,2
C_00079,2026-02-17T22:48:24.189786,40.68683,-73.9962,water_color,2
C_00080,2026-02-17T09:48:24.189786,40.71194,-74.01744,bad_smell,3
C_00081,2026-02-12T19:48:24.189786,40.70843,-74.03738,noise,2
C_00082,2026-02-14T09:48:24.189786,40.70945,-74.0208,dust,1
C_00083,2026-02-11T10:48:24.189786,40.7048,-74.02803,water_color,5
C_00084,2026-02-15T07:48:24.189786,40.70359,-73.99903,noise,3
C_00085,2026-02-16T01:48:24.189786,40.72418,-73.992,noise,4
C_00086,2026-02-19T00:48:24.189786,40.72296,-73.99977,smoke,2
C_00087,2026-02-14T22:48:24.189786,40.72324,-73.98739,bad_smell,5
C_00088,2026-02-18T08:48:24.189786,40.71097,-74.02508,dust,1
C_00089,2026-02-17T21:48:24.189786,40.70879,-74.01951,dust,2
C_00090,2026-02-14T19:48:24.189786,40.7188,-74.02928,smoke,2
C_00091,2026-02-18T09:48:24.190786,40.72054,-73.99818,dust,2
C_00092,2026-02-17T17:48:24.190786,40.71873,-74.02241,bad_smell,4
C_00093,2026-02-17T10:48:24.190786,40.69584,-73.98944,smoke,4
C_00094,2026-02-15T22:48:24.190941,40.71119,-74.02725,water_color,2
C_00095,2026-02-16T00:48:24.190941,40.71601,-74.01988,noise,4
C_00096,2026-02-03T20:48:24.190941,40.71958,-73.99136,dust,4
C_00097,2026-02-13T22:48:24.190941,40.70008,-73.987,water_color,5
C_00098,2026-02-18T18:48:24.190941,40.71549,-74.02064,smoke,2
C_00099,2026-02-18T03:48:24.190941,40.71558,-74.02705,noise,1
C_00100,2026-02-16T16:48:24.190941,40.70758,-74.03583,noise,5
C_00101,2026-02-17T09:48:24.190941,40.7257,-73.99526,dust,1
C_00102,2026-02-11T05:48:24.190941,40.69169,-73.99738,smoke,3
C_00103,2026-02-12T15:48:24.190941,40.6861,-73.99143,smoke,4
C_00104,2026-02-14T00:48:24.190941,40.72196,-73.99459,water_color,3
C_00105,2026-02-13T18:48:24.190941,40.72887,-73.9967,bad_smell,4
C_00106,2026-02-18T20:48:24.190941,40.71611,-74.02013,smoke,4
C_00107,2026-02-07T20:48:24.190941,40.72443,-73.99585,smoke,1
C_00108,2026-02-13T04:48:24.190941,40.6948,-73.99926,noise,2
C_00109,2026-02-12T06:48:24.190941,40.72295,-74.00346,noise,4
C_00110,2026-02-16T03:48:24.190941,40.71434,-74.01749,water_color,4
C_00111,2026-02-16T07:48:24.190941,40.7033,-74.02561,bad_smell,1
C_00112,2026-02-15T01:48:24.190941,40.69657,-73.99409,smoke,5
C_00113,2026-02-16T12:48:24.190941,40.70969,-74.02361,dust,4
C_00114,2026-02-12T22:48:24.190941,40.72175,-74.00025,smoke,3
C_00115,2026-02-14T06:48:24.190941,40.7241,-74.003,smoke,4
C_00116,2026-02-17T12:48:24.190941,40.70682,-74.02378,water_color,1
C_00117,2026-02-18T16:48:24.190941,40.72419,-73.98873,dust,5
C_00118,2026-02-06T11:48:24.190941,40.71888,-73.99276,dust,5
C_00119,2026-02-18T09:48:24.190941,40.71555,-74.00153,smoke,3
